127.0.0.1 - - [15/Jun/2024:14:27:47 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:36:39 +0700] "GET /new-jdbc/template/admin/assets/css/ace-skins.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:36:39 +0700] "GET /new-jdbc/template/admin/assets/font-awesome/4.5.0/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:36:39 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.min.map HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:38:11 +0700] "GET /new-jdbc/admin-home HTTP/1.1" 200 6320
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:38:11 +0700] "GET /new-jdbc/template/admin/assets/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:38:11 +0700] "GET /new-jdbc/template/admin/assets/font-awesome/4.5.0/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:38:11 +0700] "GET /new-jdbc/template/admin/assets/css/ace-skins.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:38:11 +0700] "GET /new-jdbc/template/admin/assets/css/fonts.googleapis.com.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:38:11 +0700] "GET /new-jdbc/template/admin/assets/css/ace.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:38:11 +0700] "GET /new-jdbc/template/admin/assets/js/ace-extra.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:38:11 +0700] "GET /new-jdbc/template/admin/assets/css/ace-rtl.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:38:11 +0700] "GET /new-jdbc/template/admin/assets/js/jquery-2.1.4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:38:11 +0700] "GET /new-jdbc/template/admin/assets/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:38:11 +0700] "GET /new-jdbc/template/admin/assets/js/jquery-ui.custom.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:38:11 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.ui.touch-punch.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:38:11 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.sparkline.index.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:38:11 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.flot.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:38:11 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.flot.pie.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:38:11 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.easypiechart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:38:11 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.flot.resize.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:38:11 +0700] "GET /new-jdbc/template/admin/assets/js/ace-elements.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:38:11 +0700] "GET /new-jdbc/template/admin/assets/js/ace.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:38:28 +0700] "GET /new-jdbc/admin-new-list HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:39:56 +0700] "GET /new-jdbc/admin-home HTTP/1.1" 200 50750
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:39:56 +0700] "GET /new-jdbc/template/admin/assets/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:39:56 +0700] "GET /new-jdbc/template/admin/assets/css/ace.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:39:56 +0700] "GET /new-jdbc/template/admin/assets/css/fonts.googleapis.com.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:39:56 +0700] "GET /new-jdbc/template/admin/assets/font-awesome/4.5.0/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:39:56 +0700] "GET /new-jdbc/template/admin/assets/css/ace-rtl.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:39:56 +0700] "GET /new-jdbc/template/admin/assets/css/ace-skins.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:39:56 +0700] "GET /new-jdbc/template/admin/assets/js/ace-extra.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:39:56 +0700] "GET /new-jdbc/assets/images/avatars/user.jpg HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:39:56 +0700] "GET /new-jdbc/assets/images/avatars/avatar2.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:39:56 +0700] "GET /new-jdbc/assets/images/avatars/avatar5.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:39:56 +0700] "GET /new-jdbc/assets/images/avatars/avatar.png HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:39:56 +0700] "GET /new-jdbc/template/admin/assets/js/jquery-2.1.4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:39:56 +0700] "GET /new-jdbc/template/admin/assets/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:39:56 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.ui.touch-punch.min.js HTTP/1.1" 304 -
